                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 6.5649,                 24.381,                 4.2402,                      0,                      0,                      0,                      0,                 4.2846,                 18.928,                 2.5428,              1.667e-05,              1.667e-05,              1.667e-05
                      2,                  3.721,                 19.668,                 2.4029,                      0,                      0,                      0,                      0,                 4.2788,                 18.941,                 2.5396,             4.5059e-05,             4.5059e-05,             4.5059e-05
                      3,                 3.3571,                 18.917,                 2.1502,                      0,                      0,                      0,                      0,                 4.2727,                 18.964,                 2.5362,             6.6847e-05,             6.6847e-05,             6.6847e-05
                      4,                 3.3226,                 17.707,                 2.2148,                      0,                      0,                      0,                      0,                 4.2669,                 18.991,                  2.533,             8.2033e-05,             8.2033e-05,             8.2033e-05
                      5,                 3.6583,                 18.703,                 2.2772,                      0,                      0,                      0,                      0,                 4.2616,                 19.018,                   2.53,             9.0618e-05,             9.0618e-05,             9.0618e-05
                      6,                 3.2097,                 16.587,                 2.1058,                      0,                      0,                      0,                      0,                  4.257,                 19.041,                 2.5274,             9.2602e-05,             9.2602e-05,             9.2602e-05
                      7,                 5.4455,                 26.385,                 3.2678,                      0,                      0,                      0,                      0,                 4.2517,                  19.06,                 2.5244,             8.7984e-05,             8.7984e-05,             8.7984e-05
                      8,                 6.8185,                 19.067,                 4.0631,                      0,                      0,                      0,                      0,                 4.2451,                 19.075,                 2.5208,             7.6765e-05,             7.6765e-05,             7.6765e-05
                      9,                 6.5084,                 13.315,                 4.0727,                      0,                      0,                      0,                      0,                 4.2418,                 19.081,                  2.519,             5.8945e-05,             5.8945e-05,             5.8945e-05
                     10,                   6.56,                 15.151,                 3.9863,                      0,                      0,                      0,                      0,                 4.2345,                 19.097,                  2.515,             3.4524e-05,             3.4524e-05,             3.4524e-05
