                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5806,                 115.53,                 2.1704,                      0,                      0,                      0,                      0,                 3.9737,                 73.907,                 2.3297,              5.001e-05,              5.001e-05,              5.001e-05
                      2,                 5.4676,                 100.95,                 3.3161,                      0,                      0,                      0,                      0,                 3.9584,                 74.126,                 2.3225,             0.00011611,             0.00011611,             0.00011611
                      3,                  4.342,                 91.432,                 2.5884,                      0,                      0,                      0,                      0,                 3.9457,                 74.234,                 2.3165,             0.00018155,             0.00018155,             0.00018155
                      4,                  5.585,                 102.91,                 3.2814,                      0,                      0,                      0,                      0,                 3.9334,                 74.111,                 2.3105,             0.00024634,             0.00024634,             0.00024634
                      5,                 4.7359,                 68.549,                 2.7461,                      0,                      0,                      0,                      0,                 3.9252,                 73.857,                 2.3065,             0.00031046,             0.00031046,             0.00031046
                      6,                 6.2427,                 91.407,                 3.4717,                      0,                      0,                      0,                      0,                 3.9206,                 73.251,                 2.3042,             0.00037392,             0.00037392,             0.00037392
                      7,                 6.0855,                 71.355,                 3.3339,                      0,                      0,                      0,                      0,                 3.9079,                 71.448,                 2.2967,             0.00043672,             0.00043672,             0.00043672
                      8,                 4.8609,                 82.321,                 2.4003,                      0,                      0,                      0,                      0,                 3.8828,                 67.773,                 2.2799,             0.00049886,             0.00049886,             0.00049886
                      9,                 6.3825,                 55.016,                  3.015,                      0,                      0,                      0,                      0,                 3.8887,                 63.647,                 2.2743,             0.00056035,             0.00056035,             0.00056035
                     10,                 5.3881,                 20.158,                 2.7974,                      0,                      0,                      0,                      0,                 3.8083,                 57.371,                 2.2204,             0.00062117,             0.00062117,             0.00062117
                     11,                  4.069,                 14.885,                  2.733,                      0,                      0,                      0,                      0,                  3.586,                 49.762,                  2.093,             0.00068133,             0.00068133,             0.00068133
                     12,                 4.3279,                 11.216,                 2.4823,                      0,                      0,                      0,                      0,                 3.0505,                  44.53,                 1.8069,             0.00074083,             0.00074083,             0.00074083
                     13,                 3.5013,                 8.2707,                 2.2575,                      0,                      0,                      0,                      0,                 2.3716,                 41.943,                 1.4413,             0.00079967,             0.00079967,             0.00079967
                     14,                 3.2837,                 6.1727,                 2.0201,                      0,                      0,                      0,                      0,                 2.2139,                 41.434,                 1.3539,             0.00085785,             0.00085785,             0.00085785
                     15,                 3.4699,                  5.974,                 1.9244,                      0,                      0,                      0,                      0,                 2.8063,                 41.246,                 1.6679,             0.00091537,             0.00091537,             0.00091537
                     16,                 3.1259,                 5.6871,                 1.7859,                      0,                      0,                      0,                      0,                  3.628,                 42.416,                 2.0985,             0.00097223,             0.00097223,             0.00097223
                     17,                 2.8544,                 5.3713,                 1.6245,                      0,                      0,                      0,                      0,                 5.0648,                 44.448,                 2.8232,              0.0010284,              0.0010284,              0.0010284
                     18,                 3.0592,                  5.183,                 1.6526,                      0,                      0,                      0,                      0,                 7.0293,                 40.313,                 3.6912,               0.001084,               0.001084,               0.001084
                     19,                 3.0949,                 4.9298,                 1.5866,                      0,                      0,                      0,                      0,                 7.0167,                 34.996,                 3.6049,              0.0011389,              0.0011389,              0.0011389
