                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 6.2923,                 10.507,                 4.3438,                      0,                      0,                      0,                      0,                 6.3862,                 7.9438,                 4.1623,              6.668e-05,              6.668e-05,              6.668e-05
                      2,                 6.2376,                 10.372,                 4.1497,                      0,                      0,                      0,                      0,                 6.3871,                  7.961,                 4.1673,             0.00014929,             0.00014929,             0.00014929
                      3,                 6.1422,                 10.346,                 3.7891,                      0,                      0,                      0,                      0,                 6.3887,                 7.9703,                 4.1781,             0.00023107,             0.00023107,             0.00023107
                      4,                  5.648,                  9.131,                 3.1925,                      0,                      0,                      0,                      0,                 6.3909,                 7.9703,                 4.1924,             0.00031203,             0.00031203,             0.00031203
                      5,                 4.7047,                 8.0546,                 2.8633,                      0,                      0,                      0,                      0,                 6.3954,                 7.9528,                 4.2217,             0.00039216,             0.00039216,             0.00039216
                      6,                 3.5881,                 5.9181,                 2.8337,                      0,                      0,                      0,                      0,                 6.3993,                  7.909,                 4.2469,             0.00047147,             0.00047147,             0.00047147
                      7,                 3.3804,                 5.2642,                 2.6176,                      0,                      0,                      0,                      0,                 6.4059,                 7.7778,                 4.2907,             0.00054995,             0.00054995,             0.00054995
                      8,                 2.8872,                  4.386,                 2.2716,                      0,                      0,                      0,                      0,                 6.4112,                 7.6622,                 4.3267,              0.0006276,              0.0006276,              0.0006276
                      9,                 2.5933,                 4.0362,                 1.9106,                      0,                      0,                      0,                      0,                 6.4194,                 7.4722,                 4.3838,             0.00070443,             0.00070443,             0.00070443
                     10,                 2.3663,                  3.533,                 1.6862,                      0,                      0,                      0,                      0,                 6.4253,                 7.3529,                 4.4265,             0.00078044,             0.00078044,             0.00078044
                     11,                 2.1254,                 3.3286,                 1.4976,                      0,                      0,                      0,                      0,                 6.4315,                 7.2836,                 4.4701,             0.00085562,             0.00085562,             0.00085562
                     12,                 2.1663,                 3.3248,                 1.5308,                      0,                      0,                      0,                      0,                 6.4349,                 7.1002,                 4.4941,             0.00092998,             0.00092998,             0.00092998
                     13,                 1.8578,                 3.1511,                 1.4067,                      0,                      0,                      0,                      0,                 6.4358,                 6.9879,                 4.5008,              0.0010035,              0.0010035,              0.0010035
                     14,                 1.6676,                 3.0524,                 1.3331,                      0,                      0,                      0,                      0,                 6.4482,                 6.7375,                 4.6034,              0.0010762,              0.0010762,              0.0010762
                     15,                 1.7826,                 2.6691,                 1.2345,                      0,                      0,                      0,                      0,                 6.4716,                 6.5536,                 4.8655,              0.0011481,              0.0011481,              0.0011481
                     16,                 1.6449,                 2.6879,                 1.1955,                      0,                      0,                      0,                      0,                 6.4708,                 6.5904,                 4.8883,              0.0012191,              0.0012191,              0.0012191
                     17,                 1.5586,                 2.5871,                 1.3118,                      0,                      0,                      0,                      0,                 6.4565,                 6.7115,                 4.7926,              0.0012894,              0.0012894,              0.0012894
                     18,                 1.7339,                 2.3185,                 1.2091,                      0,                      0,                      0,                      0,                 6.4346,                  6.693,                 4.6289,              0.0013588,              0.0013588,              0.0013588
                     19,                 1.5417,                 2.2883,                 1.1485,                      0,                      0,                      0,                      0,                 6.3958,                 6.4787,                 4.3793,              0.0014274,              0.0014274,              0.0014274
                     20,                 1.6002,                 2.3918,                 1.1915,                      0,                      0,                      0,                      0,                 6.2848,                 5.8261,                 3.8006,              0.0014951,              0.0014951,              0.0014951
                     21,                 1.4185,                 2.2228,                 1.1387,                      0,                      0,                      0,                      0,                 6.1738,                 5.7909,                 3.4295,               0.001502,               0.001502,               0.001502
                     22,                 1.4215,                 2.1465,                 1.1791,                      0,                      0,                      0,                      0,                 5.8247,                 5.6551,                 2.9424,              0.0014937,              0.0014937,              0.0014937
                     23,                 1.4529,                 2.0036,                 1.1563,                0.00862,                 0.0625,                0.00487,                0.00074,                  5.215,                 5.4588,                 2.6625,              0.0014855,              0.0014855,              0.0014855
                     24,                 1.3156,                 1.8572,                 1.1431,                0.01875,                0.28125,                0.15317,                0.08031,                 3.2367,                 4.3165,                 1.9739,              0.0014772,              0.0014772,              0.0014772
                     25,                 1.3454,                 2.0901,                 1.1139,                0.02338,                0.40625,                0.30236,                 0.1853,                 2.6313,                 3.9448,                 1.7716,               0.001469,               0.001469,               0.001469
                     26,                 1.2525,                 1.7448,                 1.0834,                    0.5,                0.14982,                0.46831,                0.29532,                 1.9076,                 3.4344,                 1.5296,              0.0014607,              0.0014607,              0.0014607
                     27,                 1.2495,                 1.7331,                 1.1527,                    0.5,                0.13257,                0.46819,                0.34188,                 1.5179,                 3.2572,                 1.3754,              0.0014525,              0.0014525,              0.0014525
                     28,                 1.2946,                 1.7239,                  1.116,                0.52425,                0.51439,                0.52834,                0.36613,                 1.3191,                 2.5977,                 1.2349,              0.0014442,              0.0014442,              0.0014442
                     29,                 1.1988,                 1.6662,                 1.0479,                0.57574,                0.78603,                0.72502,                0.43216,                 1.4701,                 2.2906,                 1.2336,               0.001436,               0.001436,               0.001436
                     30,                  1.189,                 1.6283,                 1.0821,                0.77302,                0.74083,                0.90432,                0.52675,                 1.4115,                 1.9252,                 1.2011,              0.0014277,              0.0014277,              0.0014277
                     31,                 1.2111,                 1.7377,                 1.0029,                0.98721,                0.90539,                 0.9808,                 0.6119,                 1.1788,                 1.6405,                  1.157,              0.0014195,              0.0014195,              0.0014195
                     32,                 1.1168,                 1.6205,                 1.0247,                0.95806,                0.98652,                  0.995,                0.68076,                  1.109,                 1.3236,                 1.1624,              0.0014112,              0.0014112,              0.0014112
                     33,                 1.1556,                 1.4135,                 1.0755,                0.94466,                      1,                  0.995,                0.67971,                 1.2343,                  1.348,                 1.1692,              0.0014029,              0.0014029,              0.0014029
                     34,                 1.1308,                 1.4564,                 1.0703,                 0.9624,                0.99922,                  0.995,                0.69676,                 1.1257,                 1.2447,                 1.1491,              0.0013947,              0.0013947,              0.0013947
                     35,                 1.0821,                 1.4376,                 1.0489,                0.98225,                0.99987,                  0.995,                0.67928,                 1.0395,                 1.2029,                 1.1334,              0.0013864,              0.0013864,              0.0013864
                     36,                 1.1527,                 1.5192,                  1.019,                 0.9918,                      1,                  0.995,                0.70048,                 1.0863,                 1.2292,                 1.1263,              0.0013782,              0.0013782,              0.0013782
                     37,                 1.0748,                 1.4037,                 1.0175,                0.99389,                0.98213,                  0.995,                0.68749,                 1.0229,                 1.1881,                 1.1022,              0.0013699,              0.0013699,              0.0013699
                     38,                  1.148,                 1.4201,                 1.0233,                 0.9802,                 0.9942,                  0.995,                0.69883,                 1.0352,                 1.2062,                 1.0868,              0.0013617,              0.0013617,              0.0013617
                     39,                 1.1551,                 1.3911,                 1.0399,                 0.9822,                      1,                  0.995,                0.70167,                  1.049,                 1.1326,                  1.079,              0.0013534,              0.0013534,              0.0013534
